Minisector,HAD,ALB,Fastest
0,287.6609683390899,287.3346431302139,HAD
1,304.05829753953935,306.6371540807519,ALB
2,300.26041106830996,312.65224198474186,ALB
3,203.72241385689293,199.26487053736886,HAD
4,236.54590795147166,233.85643454113378,HAD
5,223.9457533511111,226.26928043840485,ALB
6,207.24208763994417,209.5383124937143,ALB
7,232.83344417668937,228.2418786564157,HAD
8,269.3471033927828,271.1161274926722,ALB
9,268.07070980392155,274.04846485781434,ALB
10,180.10518937866124,170.4598515158849,HAD
11,235.33853965366254,242.29773974642245,ALB
12,119.31431130270333,114.19445558777721,HAD
13,222.84464073611468,228.97955092934293,ALB
14,277.85389436449043,277.54374439074377,HAD
15,290.157638557135,294.89134745561114,ALB
16,213.71758065519836,213.063542586867,HAD
17,190.9537465278788,182.89786458409415,HAD
18,268.1890563821708,272.1887592070309,ALB
19,293.37638772385185,294.2263968759873,ALB
20,304.46258116074074,306.35667797574604,ALB
21,304.7755655298124,306.96623379116886,ALB
22,274.4922430286266,264.4092847635709,HAD
23,121.85185466980452,121.35280970138722,HAD
24,247.36349535838983,245.30808274371643,HAD
25,273.44166613333334,,HAD
