Minisector,RUS,VER,Fastest
0,286.93916974288334,288.8294907851852,VER
1,289.71378085361505,298.96857142857147,VER
2,162.48103796727042,169.9889066826199,VER
3,222.24234030137566,228.90863636363636,VER
4,271.11012208763856,271.4902411730029,VER
5,291.40009959394956,290.5454863063,RUS
6,295.12267846597945,297.5060204081633,VER
7,163.9980721671499,150.88183009977473,RUS
8,123.88329692130621,129.9501677508123,VER
9,253.5061810953623,252.8892539539384,RUS
10,283.40369762666666,289.7185317460318,VER
11,296.9421284088889,304.8240988442452,VER
12,151.52374812420084,140.3293718252635,RUS
13,188.31201719536492,202.93181068313578,VER
14,254.6922987980724,258.7111557279588,VER
15,201.46313216646465,200.96407374587343,RUS
16,209.22620101383387,227.9386339374515,VER
17,214.68043350588235,219.18761904761905,VER
18,236.37850231025195,251.73699398095238,VER
19,273.6238534367291,280.5011945771562,VER
20,294.55042782497503,298.1980827067669,VER
21,263.1791552195139,257.8099661808293,RUS
22,218.47436277598544,220.76172354451347,VER
23,204.99386098924768,215.00106494960121,VER
24,261.77294164462586,269.16136960758257,VER
