Minisector,NOR,VER,Fastest
0,261.47085352893544,257.5419068265726,NOR
1,133.51817734544218,132.86500023656606,NOR
2,269.11954775254486,270.22532142774975,VER
3,311.4376052649908,309.5747940838278,NOR
4,311.3550504740135,309.9160492311728,NOR
5,318.5697863936811,317.653450074249,NOR
6,322.4405493236364,322.3763634269008,NOR
7,322.63138014444445,318.85659104,NOR
8,206.7935901084543,206.2708572953148,NOR
9,206.78338295042363,204.73914922044554,NOR
10,182.38227859868888,184.65118274296555,VER
11,175.07705791865695,176.35901395212886,VER
12,261.15019059739797,258.292351927132,NOR
13,279.72437348988717,283.00056924554116,VER
14,289.9162849608211,286.8080612244898,NOR
15,275.8337330697143,272.7823228625985,NOR
16,183.713801623908,173.19406797647588,NOR
17,200.59279342886174,197.8578282349059,NOR
18,251.33790225710763,249.88461461944343,NOR
19,293.9617247294092,293.29435955160494,NOR
20,313.3696037288312,312.04143765689076,NOR
21,318.01344698181816,317.34112135314285,NOR
22,316.221627015873,315.7567376278293,NOR
23,264.7231916551661,270.6989296058608,VER
24,115.48445805697901,119.2939059912624,VER
25,231.36249813333333,,NOR
