Minisector,PER,RIC,Fastest
0,248.41114573019132,249.88069260606062,RIC
1,214.49268704131686,200.95307160430107,PER
2,195.15330142037396,196.16573960357144,RIC
3,252.3961282733073,250.92043715109187,PER
4,269.2830848736508,265.6865144295873,PER
5,288.33719580444443,280.2930654609524,PER
6,175.78163600093353,157.10191578753486,PER
7,172.20979807922566,170.87983977155056,PER
8,265.32554233627707,260.8198083513915,PER
9,291.49808682601207,288.14182831034924,PER
10,303.9379887934694,299.44946146394557,PER
11,304.9792849907056,298.6831430013798,PER
12,114.23014304253968,111.239825066417,PER
13,182.19845702737504,179.58645863809525,PER
14,268.49236391102465,266.1260987614234,PER
15,294.8359893768575,291.3938686934744,PER
16,301.3876867121344,295.5936309774465,PER
17,184.85998506119142,180.15611785412798,PER
18,217.9152854626176,212.98686954187264,PER
19,262.5529462466032,262.9828440929293,RIC
20,156.87139854686475,150.66661332656545,PER
21,139.70127910290398,135.2294244483115,PER
22,215.78078314113378,203.69337633644378,PER
23,236.9507211823666,224.96678554536552,PER
24,149.41032703293843,151.6805970808296,RIC
25,220.89999786666667,219.8750048,PER
