Minisector,HAM,SAI,Fastest
0,257.2236889371072,252.69485496712636,HAM
1,209.86730726007374,211.68066539647236,SAI
2,209.62164037825912,202.69096961828848,HAM
3,257.55990673070306,254.09625366627517,HAM
4,270.4795400156136,271.2286326631218,SAI
5,289.60453882962406,285.22914231248774,HAM
6,167.94760553033365,169.03371448647073,SAI
7,187.52726626725328,179.62095548227046,HAM
8,268.3444951776439,262.73239175944474,HAM
9,294.92714277128965,285.1239427931164,HAM
10,306.3694978079863,294.9541308899497,HAM
11,307.32139562843514,298.22424247272727,HAM
12,117.12863188895501,120.73811281899896,SAI
13,188.3842693018951,177.83148561878525,HAM
14,271.046427950007,265.3380704612214,HAM
15,296.41656511184533,288.7437474306851,HAM
16,303.579934571813,297.47750793610203,HAM
17,190.15139561686047,193.21888827300563,SAI
18,222.6534680041274,219.56671976822057,HAM
19,270.73464635604813,266.0160250011567,HAM
20,155.16510359401067,160.24499096270108,SAI
21,148.0823856045632,149.839211896524,SAI
22,223.08130583341847,215.5953890243264,HAM
23,227.80223897949875,244.95043653467272,SAI
24,161.15572814798037,153.53556336023706,HAM
25,228.60416533333336,223.49859594473273,HAM
