Minisector,BOT,GRO,Fastest
0,258.6628349841239,255.82689650411942,BOT
1,209.1437623693201,205.51900916438476,BOT
2,224.2703172068032,221.91674156047762,BOT
3,266.57360612400436,264.03550767701864,BOT
4,273.09466413744644,275.580843781572,GRO
5,217.22456665503597,212.49988568437834,BOT
6,98.38561206148566,95.75482442149412,BOT
7,188.8903772243922,179.97307644801487,BOT
8,273.42540548124634,277.3097130077788,GRO
9,297.77691103906983,304.1019095296295,GRO
10,304.4610901894737,314.69954408445994,GRO
11,297.65161518730156,305.50393903779394,GRO
12,113.07226781475809,103.06565051639785,BOT
13,216.9861917548275,208.41640703606313,BOT
14,277.51787400075426,276.1281020733425,BOT
15,292.4862857557217,297.890765170555,GRO
16,222.2237598726395,223.57253976409976,GRO
17,126.37654991609082,122.05665426089847,BOT
18,154.11792814062352,148.84547248930846,BOT
19,256.3113366350419,255.79731451253966,BOT
20,157.22227806144446,153.32976471516116,BOT
21,130.28649084036184,125.29217117624596,BOT
22,208.18951081506617,201.04855405790767,BOT
23,202.95049222583194,198.27663212668864,BOT
24,166.2614396802663,160.55403350817875,BOT
25,229.9500032,228.541664,BOT
