Minisector,MSC,RIC,Fastest
0,295.54921399602216,284.11583521737214,MSC
1,307.10966698666664,288.41541498311113,MSC
2,164.89709396651637,157.2134997095164,MSC
3,218.1909563541657,220.65885996576898,RIC
4,269.3173331254344,269.30313464701754,MSC
5,286.9977777840506,289.5833957131628,RIC
6,293.9221727238095,295.32501591425427,RIC
7,184.1704507923106,172.42968359281883,MSC
8,121.28425614990188,127.27442153463979,RIC
9,244.9748872292641,245.55079336227968,RIC
10,281.28067440169315,282.17855804444446,RIC
11,288.54445367395243,293.56580823703706,RIC
12,145.60824748685448,139.70432221424602,MSC
13,191.54982440774972,189.51971958320345,MSC
14,252.537039475492,255.1068584416557,RIC
15,194.30495893583517,194.79773884062112,RIC
16,211.43727983525812,222.790763847706,RIC
17,207.5214516998347,202.24446526740743,MSC
18,234.57592665881893,240.4688837080556,RIC
19,271.58198755416726,275.6429711392799,RIC
20,287.8344293652525,290.9157516214379,RIC
21,254.18200632800784,249.87380551819683,MSC
22,217.82775009170462,212.40612447704873,MSC
23,198.5096793441861,198.2403936629633,MSC
24,260.56818575037596,258.6934570047224,MSC
25,278.5,,MSC
