Minisector,PER,GRO,Fastest
0,257.607860972715,254.9863505251244,PER
1,203.39409099066654,207.86837552557193,GRO
2,217.84086896457652,221.91674156047762,GRO
3,260.1690953616099,263.7643943896104,GRO
4,270.721059436707,275.33819839976456,GRO
5,217.93190073547382,219.2595994091471,GRO
6,91.19302938086302,96.65039314953644,GRO
7,181.14116078633128,174.85897403734734,PER
8,279.23122032102754,275.7431776878847,PER
9,309.4167399130074,302.3898262229628,PER
10,322.6033313572355,314.31750636934726,PER
11,317.31579406115753,312.1648807189652,PER
12,106.28528517602288,106.99237436795778,GRO
13,210.40981822318398,201.21928964664224,PER
14,279.13743650465267,274.58264752788796,PER
15,301.7483329304033,297.2717175515074,PER
16,231.78098297842504,244.21528816794557,GRO
17,120.05462536470837,119.61264016082336,PER
18,148.096345452467,145.83466528573646,PER
19,257.60727887990953,251.98318400819184,PER
20,156.11610351627803,166.80604381726604,GRO
21,124.55096811465005,122.89727617626431,PER
22,198.7979822442155,189.1280547202486,PER
23,198.3831042074273,200.8529003198105,GRO
24,159.95350979480142,159.45530578993157,PER
25,228.68619978277496,222.7260392,PER
