Minisector,RUS,LEC,Fastest
0,267.00072539577246,269.06624922245305,LEC
1,285.80543923714924,291.02873452013495,LEC
2,288.6288145352765,297.73191029826216,LEC
3,121.16681496713424,122.39676775424678,LEC
4,192.70461909336112,186.4340125929184,RUS
5,243.58764817407192,249.41509020076273,LEC
6,137.91373812124388,137.6049392542536,RUS
7,206.24893879452793,196.2908123993957,RUS
8,255.22136670155388,252.74436244798133,RUS
9,273.46800945945995,279.49741871247966,LEC
10,223.83014373763976,234.01208281931503,LEC
11,177.93295437790977,172.36185009412594,RUS
12,192.1085801713207,186.70667793851558,RUS
13,145.3839642211627,140.8751936081042,RUS
14,174.24826966544566,181.26884774026476,LEC
15,159.46843183637745,158.1334428538755,RUS
16,212.71464291878942,209.55441915841405,RUS
17,221.51907353752262,231.53664832267955,LEC
18,231.1597441902854,237.77845424011412,LEC
19,241.15617867198515,243.12983267542234,LEC
20,149.79540303370317,136.33707185302836,RUS
21,130.82985364619537,133.1245887068381,LEC
22,170.37433810305427,163.06672809090077,RUS
23,150.5312977197722,148.2221306251465,RUS
24,228.21752811606063,231.23953544398483,LEC
