Minisector,BOT,PER,Fastest
0,284.90979168,288.802869557477,PER
1,289.74861112865307,297.0419124705882,PER
2,174.89635493333333,174.62730897537304,BOT
3,218.44904952421118,220.67725557460315,PER
4,268.10392871619047,272.92811959680756,PER
5,288.46754380350876,292.4114357493858,PER
6,289.4236911077918,299.0104636471178,PER
7,177.27056571182794,192.56490296739122,PER
8,122.33766052603069,120.29879288464,BOT
9,245.9384930668759,245.71287278962754,BOT
10,281.5187752682078,282.17910367919796,PER
11,289.055044154386,291.9615738074074,PER
12,148.4255440496996,159.80042677179165,PER
13,190.69613108571428,183.4793836142863,BOT
14,252.64642854603176,253.9940511510722,PER
15,208.39737622286296,212.47828659200002,PER
16,212.217787654807,217.49330777769356,PER
17,217.07882164762978,218.64297654857143,PER
18,242.10032454372293,238.28883725864068,BOT
19,272.81418561048685,272.10746761493914,BOT
20,289.50865006988516,289.01754374736845,BOT
21,268.8737499733333,272.80592147264036,PER
22,228.02980050047552,233.71959465396824,PER
23,203.2070704151324,203.19028909959232,BOT
24,260.54412883364995,260.3492476857223,BOT
25,,278.8749994666667,PER
