Minisector,RUS,ZHO,Fastest
0,303.8335151542857,289.94169350498277,RUS
1,316.77754913114285,300.1150445631615,RUS
2,321.4891433533336,298.50682334983804,RUS
3,186.709401734428,182.51031812372904,RUS
4,206.1893562176086,202.81823972801004,RUS
5,202.48684332416155,201.59211931407802,RUS
6,258.9922966384689,263.97160119272337,ZHO
7,253.5184609886484,246.9489980785743,RUS
8,201.94164266710453,204.1649812657935,ZHO
9,205.80138885079364,201.267034828206,RUS
10,145.10504222558558,146.88517282445358,ZHO
11,201.78599724263051,201.17270528666435,RUS
12,184.1574851504303,178.06573324181474,RUS
13,245.01204832741703,239.70576585674772,RUS
14,176.88658893930796,176.11996941243405,RUS
15,229.19492844761905,235.23440856068376,ZHO
16,269.5198394964858,274.67638006190464,ZHO
17,272.05317233939394,275.1298216082816,ZHO
18,261.16995984839537,264.08087941465556,ZHO
19,247.24563761433933,250.11694780398267,ZHO
20,249.78977272727272,252.27651495202744,ZHO
21,252.37188528139555,254.57942877878867,ZHO
22,218.6081945342382,219.1965956602324,ZHO
23,199.464049357817,196.87399893630098,RUS
24,265.27017620070075,268.0232041855982,ZHO
