Minisector,ALB,SAI,Fastest
0,257.845500054881,255.17038784761903,ALB
1,209.16110584761904,205.30563648179273,ALB
2,217.2010720136668,218.02343869999999,SAI
3,261.77403831794874,263.51556850392154,SAI
4,276.4433710010241,275.7495002026667,ALB
5,224.37761172493248,216.5208950491859,ALB
6,96.31874763410815,93.46862643063685,ALB
7,183.88852575294482,183.27972457788675,ALB
8,268.6954229343015,275.20478754920634,SAI
9,290.4425345777778,308.7606333991342,SAI
10,298.7719202782609,320.65747185442274,SAI
11,293.30185544032815,313.7174234666667,SAI
12,110.41165702342684,113.05558266162602,SAI
13,214.62982275003128,213.8148783554985,ALB
14,276.7666196485034,275.12383368533335,ALB
15,296.6190896758495,293.5636646492753,ALB
16,225.92368521255383,223.9523979142857,ALB
17,124.08642771682554,121.96218668273184,ALB
18,154.20515445194803,151.53077117019217,ALB
19,254.22154432320062,251.0354941798942,ALB
20,161.02600371036593,153.6754449665925,ALB
21,129.23707913043603,129.22342591118993,ALB
22,201.42219000871464,204.31317261367408,SAI
23,209.56768708257897,206.53472184242426,ALB
24,168.26094404619786,165.695879902414,ALB
