Minisector,BOT,NOR,Fastest
0,204.0459168102741,214.94335644203238,NOR
1,266.27914142606835,205.72338237675154,BOT
2,291.4684409216386,271.29696000802005,BOT
3,291.0616788491228,306.5666249827476,NOR
4,162.4381593529809,314.3327390560846,NOR
5,227.24786439469813,158.82758488596534,BOT
6,274.4949549473684,215.60300711291856,BOT
7,293.6158513562212,280.4506570666667,BOT
8,294.5251653170777,308.19527673937273,NOR
9,171.38110653497662,317.5735074764148,NOR
10,131.0189013777353,182.6358894795699,NOR
11,252.28263563467038,113.05681732397687,BOT
12,283.8742844569248,242.59803641059605,BOT
13,293.1084324063492,291.20278491810546,BOT
14,147.7170397063275,308.5329829557423,NOR
15,192.19297847357666,149.25821195179617,BOT
16,257.88363051428576,175.5287679238095,BOT
17,210.97594802076773,252.55156165333332,NOR
18,217.57773711694495,201.9490750419753,BOT
19,222.45513995171717,198.71219660112135,BOT
20,243.0469290286177,212.76728719000067,BOT
21,274.44309472,240.807090073706,BOT
22,290.1148854062461,275.0789884816228,BOT
23,270.87273965465346,293.6975874807017,NOR
24,226.38217329801256,291.7716685866667,NOR
25,190.20920442933436,,BOT
