Minisector,HAM,ALO,Fastest
0,308.1054884557983,303.2877589555073,HAM
1,211.22965782905337,215.88595791227053,ALO
2,131.70881612032957,131.2421071079162,HAM
3,219.10619518350376,218.78494396919788,HAM
4,262.30788734730163,264.286870075739,ALO
5,287.7420220168034,288.69006099666666,ALO
6,301.4067540239776,295.6538807508497,HAM
7,265.82107477027114,266.706467751134,ALO
8,171.68239454238469,171.91895873036395,ALO
9,239.81185499063608,240.38311140567924,ALO
10,273.4889388165079,267.7523563613893,HAM
11,256.17519223498664,264.5325995209876,ALO
12,206.18846300727344,207.02186212126148,ALO
13,121.21948811668932,126.94439685694236,ALO
14,125.87781773671365,123.49090558822385,HAM
15,153.31381920444565,160.97137172817867,ALO
16,125.48418250618198,123.17550473196324,HAM
17,230.05454060578987,226.50242732946532,HAM
18,172.24654585084247,173.0156545219614,ALO
19,161.25800541251766,160.60809768251605,HAM
20,241.51604694703383,243.09417948549017,ALO
21,272.9855437478059,271.8005329766261,HAM
22,291.53450688291815,293.4030633720635,ALO
23,301.4016070120635,312.34130318933336,ALO
24,306.20836043359304,323.27148432285713,ALO
25,,327.0,ALO
