Minisector,PIA,RIC,Fastest
0,258.52060871657943,263.54942895336586,RIC
1,138.62242979744147,137.4504715914144,PIA
2,272.16297145609184,265.5475076410661,PIA
3,311.40926165376146,309.4313651460063,PIA
4,310.55629510715903,310.4153662359596,PIA
5,318.3803905797088,319.3021634477682,RIC
6,322.85011908266665,331.3746981052678,RIC
7,321.6579349206349,341.64558134975897,RIC
8,203.5160739438164,194.97895473709573,PIA
9,202.25553631371764,196.30565077090773,PIA
10,174.6606629620241,181.7178440443525,RIC
11,182.50766470909556,171.30938091695097,PIA
12,260.6530706647471,247.55573608483436,PIA
13,276.04229842672004,267.86943867648273,PIA
14,286.21088623081295,278.00779006649657,PIA
15,268.23739344641007,265.0173835644705,PIA
16,180.57198101449754,171.60509245370875,PIA
17,202.3738972854975,192.2072633260767,PIA
18,247.93221079056195,244.46845655840852,PIA
19,292.1169111111111,286.09734759519307,PIA
20,311.95848899226297,302.8696179207606,PIA
21,317.905088985089,307.36608972034185,PIA
22,313.4972946656275,305.1875110211515,PIA
23,241.0789393900498,239.70720547918367,PIA
24,125.864287106814,120.20294264949,PIA
25,234.47000192,,PIA
