Minisector,HAM,GAS,Fastest
0,286.92916663703704,287.54014821290235,GAS
1,295.18137248627454,297.97109366666666,GAS
2,300.1868872,301.4593137389356,GAS
3,301.0091146666667,302.11718833333333,GAS
4,184.42901292698411,178.29635029487852,HAM
5,225.13787804444445,212.8642709697834,HAM
6,250.55080628569317,242.3073172039239,HAM
7,271.10839560501256,266.1914513804727,HAM
8,270.2859653459557,264.0288553463659,HAM
9,173.47032597107585,169.10860665502602,HAM
10,234.96196808366267,232.55059423492062,HAM
11,141.57976159346939,138.66921870771904,HAM
12,227.09900630780996,223.7177187336475,HAM
13,205.6113344,197.34801984561713,HAM
14,224.54303890909088,212.3437479111111,HAM
15,257.0882571364968,247.93553592453387,HAM
16,266.956049143404,259.9701777295238,HAM
17,284.95381496039164,281.94563639183497,HAM
18,139.84951914749035,140.3069208875161,GAS
19,170.35279015343943,162.1553046328889,HAM
20,155.4234929761905,149.05335695933672,HAM
21,174.93435805894126,172.97430452117825,HAM
22,123.11633478794833,121.1008498249433,HAM
23,226.9136896,221.51726027359308,HAM
24,268.64473667368424,264.6444974418354,HAM
25,,277.9124992,GAS
