Minisector,PER,NOR,Fastest
0,261.78073496088695,269.0052538474163,NOR
1,280.33420715411256,290.34576362666667,NOR
2,288.02253811266274,296.568245252845,NOR
3,127.11930908571321,124.89338688779196,PER
4,193.5457855256316,191.33842751598092,PER
5,247.5224866783657,252.2104095190807,NOR
6,136.7932607047104,134.981847836193,PER
7,198.10773727502223,194.75631115200002,PER
8,256.36022638108136,253.62032504755794,PER
9,276.8494119715738,273.85681079634855,PER
10,227.87449237656568,229.47091558956524,NOR
11,179.37560072613132,184.47770400881618,NOR
12,186.28874105755153,184.68774931820604,PER
13,140.11568662716041,142.84651567596194,NOR
14,171.27517855610924,161.40881826402625,PER
15,156.09730204629582,150.92568586672928,PER
16,213.9933366828623,206.67321208357404,PER
17,228.16139726666665,230.25028933355523,NOR
18,228.43034403555555,229.33082578498468,NOR
19,243.29915538644912,253.1811074673716,NOR
20,145.87314706407113,140.97746965186903,PER
21,138.63473105809996,134.0839003021528,PER
22,165.23114198162963,158.59822905583866,PER
23,146.3419403525541,146.80362866378837,NOR
24,225.0974142143733,216.3327725809211,PER
25,248.76388622222223,246.52307593846155,PER
