Minisector,PER,RIC,Fastest
0,292.37612861555215,285.8899128633555,PER
1,209.2089241918797,204.3184907972286,PER
2,225.80384279536142,229.30063331470643,RIC
3,274.1497069234533,270.14713266996824,PER
4,249.01467658450167,241.85030611696067,PER
5,132.55067723330006,131.48899862729834,PER
6,212.67638772167044,210.22579515576547,PER
7,257.14806821388714,258.4742614401616,RIC
8,246.44721202381749,241.9563964514152,PER
9,231.30658821804985,230.0555011646984,PER
10,275.6661821884092,272.4553747559116,PER
11,294.3899368012426,289.3907335205776,PER
12,303.8828127911111,299.44845481058985,PER
13,308.16907902556386,304.89595239619047,PER
14,311.3117647372549,298.9607370565079,PER
15,268.21262633802314,253.02570679175008,PER
16,240.13754675870317,239.63947326960874,PER
17,278.485781494722,276.57753585546595,PER
18,296.80263518695904,282.4660225890909,PER
19,156.3298408815777,150.99674003907165,PER
20,209.1120091263734,210.22464146584622,RIC
21,188.49093526531183,182.7765304837051,PER
22,137.10975051271433,137.19477649107145,RIC
23,238.70394073469205,235.65983786974834,PER
24,281.67376554739394,276.37235627186345,PER
