Minisector,LEC,TSU,Fastest
0,285.32531623334165,304.0427796935818,TSU
1,294.7095906690282,318.01031761269843,TSU
2,287.7612357729637,289.02074827542936,TSU
3,110.59343692530894,108.84134578536396,LEC
4,220.36902869333332,228.28170664515002,TSU
5,271.38480197186914,287.15750136935355,TSU
6,218.91703398172112,220.50596199560493,TSU
7,159.8791153521292,156.69677099677617,LEC
8,209.69582801838453,206.4051745304192,LEC
9,221.3486962481198,215.60442713333333,LEC
10,118.62872995804979,118.24325136587137,LEC
11,229.16626117205422,229.26900923543383,TSU
12,126.50509308756483,123.88347368993024,LEC
13,223.81935627375702,222.24563628698414,LEC
14,277.42274342222225,278.43844306031747,TSU
15,218.6440126770215,217.6177854354394,LEC
16,187.68233360649955,192.3905455135069,TSU
17,242.24483862580385,251.3929032908425,TSU
18,203.2242225145385,205.77982032421988,TSU
19,176.98569243720107,178.67529821421337,TSU
20,260.9788798691469,262.64078042486506,TSU
21,285.4965040707017,288.5893119072464,TSU
22,178.70191536901265,175.36682964519994,LEC
23,212.35460336100104,214.2854851096774,TSU
24,267.5466667048513,269.48442482936133,TSU
25,279.54166613333336,,LEC
