Minisector,RIC,OCO,Fastest
0,247.56920962351936,257.09007261176424,OCO
1,208.9585182137211,205.868289015873,RIC
2,221.4674479990963,217.35726941715677,RIC
3,262.3096340091711,254.9267872434314,RIC
4,276.61933316266663,273.66000041813334,RIC
5,223.6628715538081,215.08199722439002,RIC
6,96.09301438234718,93.6481030906495,RIC
7,185.6173108917934,181.5942838270026,RIC
8,268.8539996586667,267.9126049423616,RIC
9,290.2630434782609,290.8970488,OCO
10,298.42777773333336,300.1189353438228,OCO
11,298.6994565101449,300.28387626666665,OCO
12,114.38658979985185,110.76177790991935,RIC
13,214.47150489462365,214.38401596598746,RIC
14,275.5893108957466,275.787500416,OCO
15,296.2479166,297.37027611775653,OCO
16,233.15751995663032,216.99179083636363,RIC
17,125.94698767008678,121.90983513540313,RIC
18,153.3250393073389,151.69527589556913,RIC
19,253.4689883526601,253.5015436472663,OCO
20,160.87575875324674,157.58960946251852,RIC
21,129.04115869337863,127.35895031621233,RIC
22,205.3181307855498,200.70914587782988,RIC
23,216.84697284231402,200.88773037893557,RIC
24,170.94655643206363,165.05295183843756,RIC
