Minisector,GAS,HAM,Fastest
0,294.7827147511062,312.8165698499002,HAM
1,302.518541592381,322.0907417459341,HAM
2,224.16433979048756,248.6669167879699,HAM
3,135.05256589511214,137.2761723078403,HAM
4,216.25035410330412,222.23156739302135,HAM
5,165.30483578770662,166.42228747391405,HAM
6,169.48833990587147,166.93413457751433,GAS
7,248.18467959123808,245.65941592900433,GAS
8,278.13452337665444,277.74983795555556,GAS
9,287.38153989967844,286.52598644341225,GAS
10,258.0165205866667,265.33193647662307,HAM
11,238.45133271640603,231.70946241342403,GAS
12,241.6194122011191,241.38646393773948,GAS
13,212.79978721220198,210.83093244617604,GAS
14,132.40469407592852,129.22600970013738,GAS
15,138.80090129260068,143.59181748963923,HAM
16,167.73786661478456,167.19891703656188,GAS
17,252.91037611669435,245.26698921289275,GAS
18,254.85227143728176,248.4843588570731,GAS
19,115.68286487840494,115.42895408900982,GAS
20,187.43585004036618,189.3338775887403,HAM
21,195.1984404670602,200.9925870543035,HAM
22,232.59580265758734,232.7957083491639,HAM
23,269.4358116658462,268.608619394211,GAS
24,293.0837446596248,294.1047779027059,HAM
