Minisector,LEC,PIA,Fastest
0,253.53401689014925,249.18698748216892,LEC
1,127.56927779478372,136.93373029344045,PIA
2,275.9934024135233,283.951341164329,PIA
3,314.95554582995413,312.5956478101647,LEC
4,298.62910882047294,299.08748562666665,PIA
5,326.63980670694366,321.8709035982127,LEC
6,339.2240548362659,324.11054642285717,LEC
7,326.59928145454546,318.46790952727275,LEC
8,204.8165964161506,181.76647952608343,LEC
9,186.97119898716684,195.01340824774078,PIA
10,181.05544247349405,163.27112352690787,LEC
11,164.17399904666064,178.91759140028176,PIA
12,246.47986904956446,251.20590166241468,PIA
13,264.1734807814331,262.63214589866664,LEC
14,256.86895167311826,263.4565210367897,PIA
15,249.58626299681856,238.81378533109245,LEC
16,178.78534113676656,175.40966025489178,LEC
17,190.8314814706455,188.88966921643765,LEC
18,250.41434118908154,258.50828756649776,PIA
19,297.1728487692449,301.1346773894244,PIA
20,315.8025221849599,315.933051888,PIA
21,290.6818348761921,291.701249165907,PIA
22,272.0069050660534,277.9629364554498,PIA
23,236.14205271802481,190.61878896246495,LEC
24,122.59054620371754,125.11891419473979,PIA
25,223.13784859944283,,LEC
