Minisector,BOT,GAS,Fastest
0,297.6987472935759,303.11299835804795,GAS
1,235.22953968367474,232.576284641077,BOT
2,192.52169388979684,190.42502193273654,BOT
3,263.411512962224,268.4684952714183,GAS
4,228.1855638549856,213.97919437048444,BOT
5,114.03215212444061,109.28926910898697,BOT
6,174.3238214423572,168.20407256268382,BOT
7,257.05491127619047,256.4797158602552,BOT
8,287.6936903375238,284.5141278645143,BOT
9,304.2696447923716,298.99738621614904,BOT
10,304.05036243478264,301.841833344,BOT
11,240.79475908862295,221.07818998531718,BOT
12,147.51985571726837,148.06684057876424,GAS
13,253.32884947356897,257.2006406085903,GAS
14,290.05270951504036,289.4764134023999,BOT
15,300.371395513983,296.91674339191843,BOT
16,288.30802384457144,287.7868335786667,BOT
17,246.63180155570237,242.24912864436692,BOT
18,174.52276612816382,167.63269704269115,BOT
19,179.36998755668765,176.94743332426305,BOT
20,172.54490567355515,179.76187239553644,GAS
21,236.02773238436097,239.65016702065628,GAS
22,121.06097097193575,121.24245080580006,GAS
23,201.88948392880124,197.17511532972975,BOT
24,281.8097119348741,282.5702266937761,GAS
25,297.5916650666667,,BOT
