Minisector,SAI,HAM,Fastest
0,301.79907734349206,297.7797956152749,SAI
1,162.28484046972787,163.96248617642917,HAM
2,163.47875073986648,155.49906231012724,SAI
3,231.88327082040541,229.13838681429846,SAI
4,288.6710569065598,290.05821166655164,HAM
5,294.3078562691345,289.5808297089855,SAI
6,146.9197541671718,146.36123115214002,SAI
7,146.5897118464578,141.44385521803932,SAI
8,143.39125019521,140.08068920555945,SAI
9,188.43902723346605,192.4245221873036,HAM
10,140.74364080447668,133.5643250683551,SAI
11,127.1748487115329,131.05355391736282,HAM
12,172.27591855869727,173.08958467782276,HAM
13,268.85041519904473,268.21079472835737,SAI
14,294.1149781046057,292.90627320438284,SAI
15,156.49461659776412,155.03921601203396,SAI
16,191.791474018386,206.67617713164304,HAM
17,169.99394996871138,173.5244077953215,HAM
18,269.489092222473,271.8812878919171,HAM
19,293.7867396661192,296.41757566564763,HAM
20,308.1859679570755,311.62151178522805,HAM
21,316.4124817754788,321.4393420455809,HAM
22,320.4868139836007,326.0697402605898,HAM
23,323.86749341291005,329.46081733668683,HAM
24,322.51019239659524,324.7837330589857,HAM
25,322.0,321.94409825300085,SAI
