Minisector,NOR,ALO,Fastest
0,298.6936787753873,292.2503991029318,NOR
1,308.51352498966133,301.6462602191597,NOR
2,313.2302528485498,305.61084453095236,NOR
3,296.54791005291,289.7840794857143,NOR
4,163.29680094406132,163.8154811465534,ALO
5,209.09905325033586,213.91085209794343,ALO
6,239.53935890241547,245.4166257768944,ALO
7,269.91048585200764,269.47676643598766,NOR
8,245.1442851986532,237.40746326857143,NOR
9,167.0948871272882,157.22566592426904,NOR
10,221.81239883048667,214.15783308788556,NOR
11,131.02376758238285,128.42654393166023,NOR
12,232.74337811875776,228.04843273167305,NOR
13,179.51526773289436,173.25590157108513,NOR
14,219.1964434873957,212.2141485625589,NOR
15,247.3196691595985,240.13642641849717,NOR
16,268.27823229714284,264.23636932595616,NOR
17,290.836505821645,288.1592496812953,NOR
18,171.48972281678002,144.71699230040815,NOR
19,172.33888592868422,165.60237422710773,NOR
20,144.6533694244699,136.388770317858,NOR
21,236.83142222111277,232.50529746994965,NOR
22,269.12565602680775,262.01226453582063,NOR
23,258.1288512795403,252.75966658133333,NOR
24,282.92473911649836,279.51763613325807,NOR
