Minisector,NOR,ALB,Fastest
0,322.7198438242229,324.7023598998467,ALB
1,331.95845251555556,332.81511911788357,ALB
2,335.92220395789474,337.0171905391746,ALB
3,181.88511458140587,206.76002079932772,ALB
4,141.77033442382694,130.0832604271373,NOR
5,270.63421040730094,266.6808627302357,NOR
6,303.45495280357864,301.9853769343066,NOR
7,313.88761947468674,314.29627532121214,ALB
8,275.9312683552841,284.23335545439704,ALB
9,156.20610623433706,148.50584109221285,NOR
10,231.11877475866874,226.24955424831074,NOR
11,235.38305004217577,228.75348319148452,NOR
12,210.55269320907064,206.72895379490325,NOR
13,273.7729083011142,273.02099950450986,NOR
14,308.4176959077937,306.86671739968784,NOR
15,317.5751653434921,316.300069073325,NOR
16,275.8742781852923,277.1376053295037,ALB
17,222.46194869085045,222.17075007264367,NOR
18,279.8724390098392,281.3759880925339,ALB
19,309.8641573110809,310.94181167141346,ALB
20,323.20225667669604,323.6782406871252,ALB
21,310.85793554285715,316.69521980266666,ALB
22,224.89703304959014,220.12009641858725,NOR
23,270.51271071560444,268.51357551826084,NOR
24,309.14449538037707,306.307559115099,NOR
25,316.35338218508616,316.26944426666665,NOR
