Minisector,VER,RUS,Fastest
0,290.45461195541577,293.6081127447542,RUS
1,160.66243825620208,174.2339425419786,RUS
2,175.7634158556125,164.78625848679883,VER
3,252.69619308538577,248.7274266548588,VER
4,285.6556672842512,288.4402577371428,RUS
5,246.16699236173915,254.71899568141416,RUS
6,222.10007837090987,219.60284359001,VER
7,153.11353495987754,150.9190857004058,VER
8,231.4251425337068,218.82129450365557,VER
9,281.17589088596054,278.40588051087724,VER
10,299.30648012121213,300.63944435809526,RUS
11,307.54377713670834,310.6541896510242,RUS
12,311.21413456205596,315.603437392,RUS
13,304.5202445118595,316.5391055455678,RUS
14,123.19573098062033,118.07526068846845,VER
15,120.41184018529393,116.1025041384386,VER
16,106.50738484210791,104.19674013854517,VER
17,234.22122736816104,236.59963771686978,RUS
18,285.1104481719728,287.5199727348458,RUS
19,305.8071284876331,310.0242335208695,RUS
20,317.4993693738346,319.9235862327619,RUS
21,315.9421746560985,324.0057578643462,RUS
22,121.2637822716578,119.58382583395556,VER
23,207.09607175103665,208.67288977839007,RUS
24,268.2001098942044,268.55892466632037,RUS
25,282.84999999999997,,VER
