Minisector,NOR,LAW,Fastest
0,313.5736986952381,311.18067162642666,NOR
1,325.0309050238924,326.25119779952496,LAW
2,328.80571187364853,331.26356269286555,LAW
3,311.2959844667086,300.67936630717685,NOR
4,153.21457027897125,147.41896737758296,NOR
5,186.96741846683727,183.1823863556729,NOR
6,215.70278098359734,208.29910065789943,NOR
7,259.9000531917133,257.3062924505772,NOR
8,239.30238606335382,226.39704678309775,NOR
9,151.84465550314243,144.10335363441925,NOR
10,203.91181028313167,196.19897868573855,NOR
11,127.45558598008023,119.37329189923877,NOR
12,233.47535400173163,233.4645852367231,NOR
13,157.94977806843744,169.9920708483683,LAW
14,214.982941925409,200.1136091856828,NOR
15,224.98058220638583,217.59788278452464,NOR
16,261.55091306046336,251.57999009723437,NOR
17,289.87261416605827,288.9551022106356,NOR
18,152.80607710866428,142.7192737304673,NOR
19,159.79168227772035,151.09297259436008,NOR
20,135.69075947582638,127.16946656033379,NOR
21,226.5600036832368,216.52636789652612,NOR
22,248.86791534488438,247.77637555569063,NOR
23,233.92192038780385,219.10296467079468,NOR
24,283.71088370022534,274.4829716943647,NOR
25,,299.82426817681795,LAW
