Minisector,PER,STR,Fastest
0,322.7485512347826,315.47499059938804,PER
1,332.7957520969697,322.95804224559697,PER
2,336.68856100705545,321.2158942666041,PER
3,194.08396490094933,197.5762342592996,STR
4,115.44310148218673,116.70135400577685,STR
5,265.8776974586886,261.5040610464747,PER
6,304.48386384926175,295.95256252730377,PER
7,320.1615896266137,301.26041662222224,PER
8,275.4667317250168,277.6083312,STR
9,137.49577418244232,142.25189312690148,STR
10,217.2739895426178,221.5120179610141,STR
11,209.7885450329181,210.49455086282978,STR
12,192.4159125542496,192.31471430626226,PER
13,268.25301576601044,263.0177517170068,PER
14,305.94317717755746,297.0543401206349,PER
15,325.98369581449276,302.4411458222222,PER
16,264.16038487477954,264.70962374448436,STR
17,191.4283987926126,195.9576412846821,STR
18,267.9380570771329,263.9458326095238,PER
19,307.82844504463725,298.3390628444444,PER
20,325.2063404057971,306.85344208695653,PER
21,310.87467195038084,298.06699989333333,PER
22,201.86821452190475,206.26772013714285,STR
23,261.9857125447827,258.89702377142856,PER
24,304.16793437681156,297.83815666295953,PER
25,316.5916650666667,308.35833386666667,PER
