Minisector,PIA,ALB,Fastest
0,259.31056469960225,257.70713721405593,PIA
1,130.4513662348753,127.10383860536028,PIA
2,198.8840184152381,195.88596331851852,PIA
3,248.42780208586905,245.13293846521316,PIA
4,257.9486094177499,252.69059776703295,PIA
5,175.25995559546487,164.3458422465617,PIA
6,142.87795292536208,141.9038420224059,PIA
7,183.1948983103855,183.01389373561906,PIA
8,101.82980234772879,102.62816298659781,ALB
9,69.45099618545703,68.82162418692326,PIA
10,93.19021221136956,96.7165880107674,ALB
11,182.5957736182857,184.30533226533638,ALB
12,243.67084433886114,244.85081961142856,ALB
13,269.559938416459,265.70733103436504,PIA
14,274.8040012994687,278.240339660606,ALB
15,113.97275405609935,109.67726841889991,PIA
16,151.10136765835048,152.34507953894993,ALB
17,184.77410980078227,172.3364031492337,PIA
18,201.84922968055002,185.66362061699988,PIA
19,205.4022228454902,203.43919890666666,PIA
20,136.45800176488513,135.98103886207377,PIA
21,108.14458452653595,98.71461303874113,PIA
22,96.20420123716404,103.42279469603216,ALB
23,197.46995666240898,202.99755345148205,ALB
24,251.18051524155487,251.60959039617623,ALB
