Minisector,LEC,BOT,Fastest
0,290.1003676574915,287.5964740166739,LEC
1,302.4666483911111,296.88587275174604,LEC
2,304.16116178332686,294.2758991192397,LEC
3,184.91837918745892,186.04725828702794,BOT
4,210.73644658262418,204.31072307588792,LEC
5,198.7903803667652,207.72104783272388,BOT
6,262.5658848297726,261.2048496310135,LEC
7,258.2743251445887,252.87846545664726,LEC
8,204.9127858043443,200.41113966067826,LEC
9,206.7139317239271,214.20007282943615,BOT
10,138.96954296316406,134.1112793118479,LEC
11,199.85164594937703,207.25236568563233,BOT
12,179.30324006784892,176.27826526603394,LEC
13,251.20410973079365,243.20673055675994,LEC
14,173.6138323353792,177.6249824442196,BOT
15,232.72381130662953,225.83450751271707,LEC
16,276.0917228335601,272.91575648447997,LEC
17,287.6789427884665,274.3124088193407,LEC
18,275.146625104,251.30460768866132,LEC
19,259.9888650941863,241.71770351514454,LEC
20,260.956845551746,248.04783570349207,LEC
21,257.35550285084884,250.96357005736306,LEC
22,228.91898080418116,246.2761525998818,BOT
23,189.20216012257484,188.4518009466146,LEC
24,267.51906562651396,261.2867171112826,LEC
25,,278.50843708,BOT
