Minisector,RIC,SAI,Fastest
0,288.035869542029,301.0600342327821,SAI
1,306.19044100315995,325.58083311999997,SAI
2,302.1220455527605,307.5874981333333,SAI
3,183.4948911674525,177.66824524762288,RIC
4,223.97395855238096,218.25344904827585,RIC
5,210.7720235159946,203.1157094576425,RIC
6,194.94907306229737,189.8219072080808,RIC
7,215.79035273315907,211.58907940481546,RIC
8,259.418403253068,255.9988089295238,RIC
9,264.67762173828953,257.0894876317033,RIC
10,173.4173842558101,171.57683351831236,RIC
11,239.70227739682662,238.64131113695277,RIC
12,119.06433340871347,119.59646973614771,SAI
13,228.37566258906529,229.35756591581261,SAI
14,275.66313791583053,272.17932283298893,RIC
15,282.77559517229435,278.2017599469979,RIC
16,211.79841370365335,206.95162587572568,RIC
17,187.265910376912,183.61579164548144,RIC
18,271.3184858189376,268.00307867826086,RIC
19,296.81309556825397,292.7903406060606,RIC
20,308.334390664492,303.5351505253153,RIC
21,307.91249973333333,304.12389903238096,RIC
22,270.00543147220816,259.3510483425904,RIC
23,118.27399146283175,118.16921451891855,RIC
24,243.45142226390422,244.11153675604393,SAI
25,,272.5749984,SAI
