Minisector,BOT,LEC,Fastest
0,308.0934210245614,309.7921296,LEC
1,242.08800042378712,233.2756047690807,BOT
2,138.66718343057644,130.9265816099562,BOT
3,217.74047014805433,216.81713777336805,BOT
4,262.44145760000004,264.98937551999995,LEC
5,288.20251017854224,297.3601814745833,LEC
6,302.85984290412847,318.31666800603796,LEC
7,288.3285114385965,291.77337801481485,LEC
8,176.57511205700095,179.10081059256203,LEC
9,239.30546436017315,236.79401653168995,BOT
10,271.1699996266667,274.7960420190476,LEC
11,268.0633997754902,271.8603058526316,LEC
12,209.23766677333333,212.0238846028091,LEC
13,128.11436559310997,129.30451593390367,LEC
14,125.78171231316016,120.51482856380197,BOT
15,163.67265768095237,162.7920419041483,BOT
16,119.54178993689065,121.73347308835176,LEC
17,232.24288230559006,225.00938868817443,BOT
18,187.9811324627702,193.17544434285716,LEC
19,158.01287783434344,152.45896531537082,BOT
20,245.18139574696653,242.08187312207792,BOT
21,275.2397551799499,274.97312451283756,BOT
22,291.65172144371826,291.6731442840622,LEC
23,301.269885739855,300.5759261037037,BOT
24,304.95694429629634,304.7896761668094,BOT
25,,306.4770837333333,LEC
