Minisector,OCO,HUL,Fastest
0,252.47135345020266,254.53630235667583,HUL
1,211.48047043291965,207.32986237471573,OCO
2,199.88015072644052,206.04113631527756,HUL
3,262.8363637744886,260.42943606530616,OCO
4,277.87924009316004,270.58892539691834,OCO
5,292.75722246252246,293.18014677305115,HUL
6,157.41021305047636,156.08613040402585,OCO
7,175.81301578004874,189.88625525920727,HUL
8,269.75562019969925,274.283247244936,HUL
9,297.5327823296541,308.14847566917297,HUL
10,308.7201096844071,324.8296106106298,HUL
11,307.6869130760115,322.3521934511399,HUL
12,113.4458819577854,110.26669123676406,OCO
13,188.36943623370652,198.21162987377895,HUL
14,269.7415106953304,270.39787136308274,HUL
15,295.4307244417443,296.4888466501924,HUL
16,297.6039136681008,303.77880280118126,HUL
17,188.40604308896934,181.58631149649526,OCO
18,219.08050930450722,225.47094865206068,HUL
19,269.6487751362057,269.1100514837664,OCO
20,153.36872137076162,147.22583563565735,OCO
21,139.46877882122678,148.49358652102134,HUL
22,214.89487530627932,222.9079581843205,HUL
23,237.18947533771944,238.55441655784347,HUL
24,154.0422282337187,160.0698898537271,HUL
