Minisector,LEC,VER,Fastest
0,275.69574742054283,276.411362108993,VER
1,291.71964281904764,292.0867869777492,VER
2,283.16954050199837,289.07419158919026,VER
3,183.69745831501723,179.02301912935442,LEC
4,132.3636095535924,134.4476234323784,VER
5,244.54791234126318,243.46106943649596,LEC
6,284.25273608200115,283.93614871147633,LEC
7,291.5907730458722,288.560725859125,LEC
8,180.11602958874624,176.78448245912585,LEC
9,148.48894267179483,146.68220427366592,LEC
10,256.5864360937956,255.11088623455444,LEC
11,286.96812789016434,286.1696521713598,LEC
12,295.84568996213517,296.04314179859824,VER
13,284.9867607535482,282.887447565974,LEC
14,296.59184386359755,298.1290599952278,VER
15,293.65850116955295,294.9832506907982,VER
16,262.10332280685594,256.1231590871111,LEC
17,230.24009678451367,240.67932612170512,VER
18,281.7393229218385,286.7215337184722,VER
19,300.5841406029279,306.02633333333335,VER
20,299.9663647584296,306.0509999705395,VER
21,231.0531324627275,225.6102092267148,LEC
22,262.3698128278824,260.0936477540058,LEC
23,139.39067606047038,138.8166843856444,LEC
24,220.31854382179182,224.71001448510123,VER
