Minisector,VER,OCO,Fastest
0,290.65655696891406,282.7934839254701,VER
1,152.8262709780882,153.5106332066609,OCO
2,145.69908944486187,143.23273450842743,VER
3,222.20340254866412,224.1787604212011,OCO
4,284.56543081588933,283.21963955336787,VER
5,290.8691371466133,287.91436084293275,VER
6,139.683844470691,133.2183275189577,VER
7,139.5011044383045,134.48269557370128,VER
8,140.31170779716078,140.9718152883348,OCO
9,184.44719994682757,178.31518711722921,VER
10,125.70033499083848,130.10841174394872,OCO
11,119.94640462825227,121.71339961825625,OCO
12,165.06338934378786,153.10151886786736,VER
13,267.14419325985386,261.49871797606835,VER
14,289.67635120380953,285.6468267153654,VER
15,152.03823229490717,142.4718048314526,VER
16,205.31495545279031,202.7997355509007,VER
17,172.7003700972978,162.82539491383744,VER
18,272.47823107291947,269.4425765558793,VER
19,296.09618929291923,294.9542965367965,VER
20,311.4244211920131,310.9412198249697,VER
21,319.2925917233812,319.177817964371,VER
22,321.6877273134545,322.87203255126053,OCO
23,322.81648246729446,324.315346706915,OCO
24,323.84659089454544,317.22351140465946,VER
25,324.21500032,313.43611128888887,VER
