Minisector,NOR,PER,Fastest
0,292.72171665864107,292.3278545523809,NOR
1,304.71690417430244,303.1945041672317,NOR
2,305.9582427134499,297.76603140849994,NOR
3,189.24847954955703,177.47157713704257,NOR
4,209.18699232897802,208.7739612646407,NOR
5,203.85310341879352,202.81106469836968,NOR
6,263.21517455223494,262.48548188904005,NOR
7,254.3537356982857,248.4103894986689,NOR
8,205.98980607778245,199.3903149357037,NOR
9,205.35594916040435,200.0562410408405,NOR
10,145.15102444843538,147.51114705456757,PER
11,198.19108567783053,182.31374831435866,NOR
12,181.40592821824066,188.79270892727104,PER
13,246.986214230303,237.252106598557,NOR
14,175.22948646651923,172.05210216725987,NOR
15,238.04087352002952,237.61995723493317,NOR
16,275.58067192066113,275.7975591111111,PER
17,279.0832797931429,276.28298105650794,NOR
18,272.7965607611561,263.44718990878823,NOR
19,260.3255424360173,249.88461940869567,NOR
20,261.9654312765318,252.52829515854057,NOR
21,262.51228870960114,259.22689425004324,NOR
22,221.13862761830674,199.79120679280422,NOR
23,203.05588855057192,201.0098577995728,NOR
24,269.40133269895784,269.5110764289524,PER
25,284.37142857142857,,NOR
