Minisector,COL,LEC,Fastest
0,288.735670447257,295.1000520590981,LEC
1,159.8198077132678,155.13144862328505,COL
2,164.68822776041006,165.66324903336798,LEC
3,239.32608511028297,234.46888147885417,COL
4,274.6907522668078,255.23938055508626,COL
5,234.7279739305864,237.96922786573276,LEC
6,202.74415895241665,214.5577044782485,LEC
7,139.1664627654308,142.0792261743801,LEC
8,229.38713848740738,230.385904076473,LEC
9,298.8704348556204,297.09194533595024,COL
10,320.29221298069905,320.1499999604938,COL
11,320.90071807368344,317.4342263036415,COL
12,312.60809527477954,310.75378003555556,COL
13,304.59678967736176,304.74608187134504,LEC
14,127.87760693870311,122.25401947116498,COL
15,117.74689404276731,116.16762891560697,COL
16,100.98114180583006,109.24609099225219,LEC
17,243.81262535827383,244.77085661266025,LEC
18,304.95218580938274,305.7186973579832,LEC
19,318.108473676527,320.63208849329607,LEC
20,313.91156861490197,315.87031698285716,LEC
21,310.0056679139572,311.2435418133333,LEC
22,118.71468941645429,118.10428295140419,COL
23,203.29998412753068,213.77862382940162,LEC
24,274.6549246019412,278.94224939343434,LEC
25,282.4906248,,COL
