Minisector,KVY,RAI,Fastest
0,305.8333333333333,300.6454054046011,KVY
1,307.5000823236733,301.57537881212124,KVY
2,242.35333333333332,263.94765873258734,RAI
3,151.67927244010116,152.20499729042723,RAI
4,165.33085308017468,172.60165189794247,RAI
5,216.51149425287355,211.47457345242864,KVY
6,229.23521725035246,232.73892779013312,RAI
7,210.17036124794745,210.96357069405533,RAI
8,258.77027172741555,264.26601098209443,RAI
9,252.52166666666668,258.667362301602,RAI
10,265.9270833333333,271.3328158013583,RAI
11,268.4935188966985,274.6923609269841,RAI
12,267.04513888888886,270.48211831746033,RAI
13,263.8468396238372,260.25560589662365,KVY
14,176.05672268907563,172.01210117147176,KVY
15,233.64981529852219,235.73880762165976,RAI
16,202.29377880184333,212.41992375238095,RAI
17,170.66184747876116,165.17553684913813,KVY
18,258.0823550830753,253.19487719375152,KVY
19,287.12608700289854,282.9102167638389,KVY
20,239.28047619047618,259.2134177737143,RAI
21,182.4366405221176,184.704268461605,RAI
22,256.29513888888886,255.483916,KVY
23,285.6333758409703,283.6261694933098,KVY
24,297.74867423030304,295.5695344761905,KVY
25,,300.0,RAI
