Minisector,NOR,TSU,Fastest
0,242.609386764873,245.72491696294267,TSU
1,277.0490999791181,276.5162979265203,NOR
2,174.09932590128827,168.88001570842428,NOR
3,150.02891840826555,148.53179976436758,NOR
4,255.64410839416934,255.0642117232164,NOR
5,268.2676363058504,256.92378822510824,NOR
6,218.1835808150855,204.91125503876765,NOR
7,195.7958029261388,191.77688230943676,NOR
8,151.15849214596813,150.83069606369966,NOR
9,204.88780482473905,203.48493895778907,NOR
10,269.16019873616165,266.90995434207105,NOR
11,119.38519186799081,127.45888830118815,TSU
12,196.13349399860886,201.82239883698924,TSU
13,272.92930489396826,272.01230127407405,NOR
14,306.3243132875577,303.68575275053456,NOR
15,320.6083390948571,319.0629531546199,NOR
16,262.86324000759686,286.4460277962733,TSU
17,120.23659248418087,123.93251912739629,TSU
18,124.89753328488361,125.5598671079879,TSU
19,121.89296046089234,119.64266456819261,NOR
20,224.75094559204834,215.43143400423705,NOR
21,255.14285483209235,245.65788095925996,NOR
22,232.5345468619142,234.71000404001055,TSU
23,210.5684233314093,204.29674698643578,NOR
24,130.9554369877316,130.09249584995217,NOR
25,,207.340498944,TSU
