Minisector,LIN,BOR,Fastest
0,286.6610577086734,282.83424533074975,LIN
1,298.07635535792207,301.9173807475132,BOR
2,277.7716888306138,280.1714120968152,BOR
3,172.81781342265634,158.19100329860893,LIN
4,116.63849517535972,111.7039969239339,LIN
5,238.41141148169817,241.9301784345116,BOR
6,283.772851499798,283.8993549549206,BOR
7,289.3484050898815,289.28341500040403,LIN
8,172.63647066905327,170.96251766830935,LIN
9,134.76971855073762,135.49359095920485,BOR
10,253.75374130289134,250.57632775703703,LIN
11,289.62717368311684,292.81751358535234,BOR
12,291.1392145522578,294.7027063343377,BOR
13,263.74891250356825,265.55080272626327,BOR
14,280.1648645524595,283.14970800813626,BOR
15,271.0615443288844,278.88153918787503,BOR
16,233.08077508403701,236.11120251114062,BOR
17,217.9160131188148,218.3482366407495,BOR
18,280.94553310644886,281.56725174222225,BOR
19,301.3505567966138,307.07363871255313,BOR
20,303.36759061682125,307.0303713916215,BOR
21,218.5438341634675,218.14017795678706,LIN
22,242.76001797411823,233.4078581485689,LIN
23,135.50842793051424,130.23145370885936,LIN
24,213.85661400372294,204.89707124342948,LIN
