Minisector,VER,TSU,Fastest
0,288.0891044990476,289.7060003337143,TSU
1,298.2032904719577,300.1535234900585,TSU
2,302.35254627555554,306.5166665955556,TSU
3,298.66561967411195,309.6464223472278,TSU
4,207.09061626258205,190.89218062500768,VER
5,225.27703715534602,220.7992184180089,VER
6,267.7148678735238,267.37946602613204,VER
7,274.49785137870134,252.2853536865056,VER
8,205.4841099372567,191.23776603102039,VER
9,149.6722356831273,143.5614228015605,VER
10,186.86607136547713,185.85054448644001,VER
11,264.4196575289358,264.763804942026,TSU
12,254.13900713904764,241.19513763232325,VER
13,236.07519390014428,229.26594769416897,VER
14,273.58916737414245,264.7248705582623,VER
15,173.69565972297428,164.8336201600153,VER
16,226.86888929885492,231.5887634727619,TSU
17,241.88268915878788,232.06892914877972,VER
18,136.65103681480883,132.18252761228172,VER
19,243.4455159429777,247.43521588226162,TSU
20,284.874821932309,286.19757661090904,TSU
21,250.83191977553565,219.29757434603385,VER
22,145.7662650961308,140.52271667567393,VER
23,213.87824736240603,217.9809500221824,TSU
24,269.269555359623,270.2781860732895,TSU
