Minisector,ALO,BOT,Fastest
0,251.86989586666667,240.01180866951745,ALO
1,130.7751080082032,124.19664047445886,ALO
2,195.91033223426672,196.90356650136795,BOT
3,241.86728507844157,240.76205428571427,ALO
4,250.26217813333335,248.2024896828327,ALO
5,174.3078043007781,166.8268198628367,ALO
6,146.10403215472527,141.1463388899908,ALO
7,184.53891323996567,181.42760551055412,ALO
8,99.06596476513708,106.23940482161039,BOT
9,75.6299468905977,73.20176970405157,ALO
10,95.12160963598473,92.35940577354498,ALO
11,185.81740199639307,185.04438741333334,ALO
12,240.21648462666667,243.55222737194026,BOT
13,262.3539408511027,265.8098266888889,BOT
14,268.45751388571426,267.72129635116886,ALO
15,107.52701295254407,106.57854652485344,ALO
16,160.12850842004653,151.4433960673016,ALO
17,185.80246340787622,177.46268050927318,ALO
18,202.16509029378153,192.87534803260073,ALO
19,208.1843350970019,203.48028670765237,ALO
20,137.86156108575275,130.40015869943824,ALO
21,107.22274485371224,119.45001713333077,BOT
22,102.37310988922037,92.79089869176471,ALO
23,206.86425385915106,191.76852903978167,ALO
24,246.0217875474573,247.09608280999004,BOT
25,,261.5666688,BOT
