Minisector,HAM,RAI,Fastest
0,292.1707197750567,300.3310370394558,RAI
1,302.5666453762844,319.9392428980514,RAI
2,307.50352638586145,328.8837541839474,RAI
3,307.81805556825395,332.6092106105263,RAI
4,215.03676033845122,194.1512159769809,HAM
5,232.2638348307692,222.0858384826602,HAM
6,272.8968867044291,270.8328476682017,HAM
7,277.96939505720593,276.8304847132811,HAM
8,207.38529173646947,189.6569181854331,HAM
9,165.0224549569747,156.90887399846986,HAM
10,193.36456530866153,189.57720622089224,HAM
11,264.2792339137572,262.6821165449275,HAM
12,263.9607199152772,253.70763788198568,HAM
13,240.21434666116366,224.28594895492682,HAM
14,279.2175722136646,273.1577435399796,HAM
15,189.99847802781377,177.10382453008867,HAM
16,229.35709795555556,221.5890472632937,HAM
17,256.53038596404224,249.07471959836013,HAM
18,144.89389815962053,135.82789730827255,HAM
19,246.20599401021397,238.7624754102857,HAM
20,282.4261901714286,281.9844137921827,HAM
21,266.38600708123005,258.94080932149853,HAM
22,156.77970075897434,144.21971547235802,HAM
23,222.54049781036593,208.17557376420362,HAM
24,274.69428032132504,271.91398433250464,HAM
25,281.1714285714286,287.03749973333333,RAI
