Minisector,LEC,LAW,Fastest
0,269.03541758548755,266.1112676616462,LEC
1,249.33055917928377,245.68816444210026,LEC
2,118.80898722234048,116.82403325004103,LEC
3,167.15712449738376,170.27703484211915,LAW
4,198.8161285503952,184.38061172984337,LEC
5,195.1946039913975,191.90338635057384,LEC
6,263.10566543588124,264.4536625240931,LAW
7,287.4404449879681,285.0793555686495,LEC
8,242.85034999549782,232.24814951022773,LEC
9,142.09556889681124,141.64665359149663,LEC
10,108.39018548828497,109.99773092960646,LAW
11,147.546904845225,151.24605110455306,LAW
12,240.28465353142857,241.73967478598988,LAW
13,152.29644538166752,146.50083031037315,LEC
14,138.66110110782833,141.906775085743,LAW
15,106.49931243671328,102.9028055947106,LEC
16,210.68582307133948,215.94300776145118,LAW
17,240.48573599670524,217.03165760047736,LEC
18,128.35303820051948,123.29052080047225,LEC
19,237.85130570846698,240.61135991093028,LAW
20,275.7252657960173,275.4978528106425,LEC
21,210.79389371359943,186.36131283596788,LEC
22,138.98880737697283,144.17881189295656,LAW
23,212.7863544093091,205.44709099092407,LEC
24,218.64529847147392,221.61956589274857,LAW
25,254.7285741714286,,LEC
