Minisector,ALB,OCO,Fastest
0,307.81669226832895,320.6057869748148,OCO
1,228.61515390327057,199.52158306986664,ALB
2,138.85782641503107,145.11565801740164,OCO
3,223.88308573930456,215.0227404335601,ALB
4,164.21981303285813,158.77600148999574,ALB
5,178.5194071274972,186.73517828604025,OCO
6,255.531044287121,255.18247536187175,ALB
7,282.71114074016987,279.8146822506205,ALB
8,289.4573936690196,286.13959568941175,ALB
9,261.23836314939683,264.3495553185185,OCO
10,246.5680699665797,250.63976831051852,OCO
11,243.19041083597884,233.04480463639098,ALB
12,204.64030765286006,196.62798875384257,ALB
13,125.80895202598678,125.68186289258433,ALB
14,138.74783485704782,133.79625850470748,ALB
15,170.34091728929673,187.81306423458213,OCO
16,254.63527515511996,262.0489841082707,OCO
17,251.7415125602241,235.9575435587417,ALB
18,112.25112617244247,110.0676132353838,ALB
19,198.38862836016997,201.90364349930778,OCO
20,196.20839927990556,196.542583488,OCO
21,239.3160200376099,237.991404984854,ALB
22,276.71259473550464,277.0141106793651,OCO
23,298.4691144,298.29374577069746,ALB
24,315.2038459569231,315.86302320798035,OCO
25,321.1458325333333,,ALB
