Minisector,HAM,HUL,Fastest
0,267.552176008582,268.8063183214652,HUL
1,133.46762505749794,138.10467813226762,HUL
2,194.8335422574027,189.91702436736546,HAM
3,246.30176860438752,243.57009498817987,HAM
4,261.7596148395604,261.0875853823129,HAM
5,176.46139963506985,176.3302259033549,HAM
6,145.1617850255805,144.86467878954858,HAM
7,183.02818244376468,176.44821302857142,HAM
8,100.7812796862845,102.02785079304005,HUL
9,74.7632130385619,76.5695918159748,HUL
10,96.21234205631706,91.00902963233125,HAM
11,176.99671641160245,171.70819999608847,HAM
12,243.12269499082984,243.2304919072314,HUL
13,269.50960570843296,267.4720498205456,HAM
14,281.0648749631285,281.2217962666667,HUL
15,114.54662901534178,123.7281547510572,HUL
16,139.35563747064455,127.02083156660298,HAM
17,183.0023015402533,198.50227036461766,HUL
18,188.90992188021673,191.1171435222686,HUL
19,207.17037030426462,227.33035178066123,HUL
20,129.4069919798756,135.57673014879555,HUL
21,111.86626946771993,126.14227770351096,HUL
22,90.60623087471161,86.98837251239449,HAM
23,190.3299661168619,187.8522736448517,HAM
24,249.00944334222223,245.52071957294697,HAM
25,,261.5,HUL
