Minisector,LEC,ALO,Fastest
0,257.90311271217564,260.25618430139366,ALO
1,135.16136850631685,133.15966660533485,LEC
2,263.8040040420752,268.39036502521793,ALO
3,309.0362032370068,308.86505852562897,LEC
4,308.9533803279412,308.69929043106225,LEC
5,317.6966689846154,314.84598561846155,LEC
6,322.2766262537374,317.1411217969231,LEC
7,318.2379869845182,317.8313595753992,LEC
8,201.11357603335333,198.35839388488995,LEC
9,203.92878291809524,204.27235432715344,ALO
10,179.43022387906075,179.13366985936898,LEC
11,170.58906959502238,166.5205197389679,LEC
12,258.102719400892,253.81300359339824,LEC
13,279.5001157176157,273.82498529429574,LEC
14,283.8066470554215,282.2945184994855,LEC
15,276.3309436737566,258.68881917535333,LEC
16,176.30680512707391,167.32411685695124,LEC
17,192.82183977815933,195.35347388493517,ALO
18,246.9101717896517,244.88107205369863,LEC
19,288.32689999999997,287.8921808501167,LEC
20,306.2500537590528,306.9341234800905,ALO
21,313.50214285714287,312.3709095920497,LEC
22,311.2129070491488,309.64803558772485,LEC
23,258.6432041544111,253.81651298615586,LEC
24,121.5932329648616,118.53771993657244,LEC
25,,231.54166933333335,ALO
