Minisector,PER,GAS,Fastest
0,100.27035316906012,144.90341131030092,GAS
1,120.76656966227941,137.01363918315053,GAS
2,189.63491629439122,165.16206842689158,PER
3,142.5968046920508,109.46531669062846,PER
4,129.3909322830832,148.24805761987577,GAS
5,215.85840634285714,190.75947274777008,PER
6,239.64725357313034,151.047799432429,PER
7,129.5055727477456,141.86989106644467,GAS
8,135.20892907415242,138.49740699275614,GAS
9,197.18333333333334,146.01822600248445,PER
10,236.69810921785898,155.16063909207122,PER
11,254.97193283516484,148.21656145199816,PER
12,217.0630094664611,153.66196707729563,PER
13,226.0211111111111,167.5724839199066,PER
14,102.02368687766473,193.13611042539685,GAS
15,148.5938923395445,158.4788649861902,GAS
16,84.57417919123802,101.02982412572037,GAS
17,130.10580974291622,99.09425806942942,PER
18,172.76270890666666,114.57025765079365,PER
19,184.64729308158084,121.0269074599564,PER
20,196.0135760044645,149.34677376507935,PER
21,208.15472328571428,173.7196640989377,PER
22,162.22218500082093,123.00640084042436,PER
23,81.04996175836962,169.05118918095238,GAS
24,113.35046230030453,183.43690453333332,GAS
