Minisector,HAM,VET,Fastest
0,285.4506841192652,279.480777340056,HAM
1,127.68344737515659,118.49873034185464,HAM
2,154.1106397463743,162.54367114757613,VET
3,215.44130300289856,215.60170385454546,VET
4,166.18402776769588,161.00097403504734,HAM
5,247.47799335233606,245.80597650526315,HAM
6,211.08803067906865,203.73623021449274,HAM
7,138.64870477688788,136.07319604761904,HAM
8,235.99290615632594,235.43500016,HAM
9,278.94791706666666,279.98727688571427,VET
10,287.6997537882353,283.07352847058826,HAM
11,148.6151297402242,144.81739703348327,HAM
12,224.83000181333333,220.28414217887493,HAM
13,273.92879506436685,275.1973037803922,VET
14,266.1500972783069,272.5610119047619,VET
15,100.31206810081885,100.86050989922958,VET
16,220.47194611555557,220.49488055037315,VET
17,272.16947307699434,274.5125701539077,VET
18,294.06824330024534,302.76666666666665,VET
19,303.62809541079366,315.99414766804915,VET
20,306.8998616789775,323.5649998933333,VET
21,280.4473856964058,299.1666666666667,VET
22,154.78099421754303,156.18295104447134,VET
23,235.58134927028277,237.89777462055136,VET
24,277.4622556235294,284.83373603714193,VET
25,289.7833344,299.71249919999997,VET
