Minisector,PER,GAS,Fastest
0,299.325500916934,286.08754642719106,PER
1,307.54608637291005,287.37241972705885,PER
2,159.1377622294165,157.6686975950599,PER
3,214.4340770191661,220.83842927238095,GAS
4,276.55997745357575,270.8276133868161,PER
5,303.75707398327586,292.18223641650354,PER
6,312.95347243636365,296.50828107488326,PER
7,155.76976004080754,167.6038419956989,GAS
8,120.82000620619013,120.55557453639835,PER
9,252.13819983102798,244.4032981187636,PER
10,296.75253752142856,282.91397227746035,PER
11,314.386363267483,293.8637069933333,PER
12,136.49295602114248,149.44038329296907,GAS
13,180.1885397250135,187.20254293502646,GAS
14,248.75487559057643,253.1881008193683,GAS
15,197.5363489246978,206.26843717809524,GAS
16,207.93449721210334,209.22588725953375,GAS
17,206.9246656763147,210.76991965333332,GAS
18,238.577481554729,238.95557406863043,GAS
19,276.3785438992593,273.53530911994835,PER
20,291.15937486666667,290.3498696142857,PER
21,260.2496257110122,258.18186407035216,PER
22,214.54619949272316,221.57697871077798,GAS
23,200.03956959689754,199.88922160444443,PER
24,259.5978092407619,257.423491777293,PER
25,,278.1041664,GAS
