Minisector,RIC,GRO,Fastest
0,266.676782883536,259.3791192043248,RIC
1,137.0726947606997,130.83025083341124,RIC
2,201.03509818324017,200.94099842373384,RIC
3,251.24574128507084,245.2774095797258,RIC
4,261.78685784615385,257.0794256201351,RIC
5,175.8259756744353,176.09171914029716,GRO
6,144.8668716469734,147.28488809125332,GRO
7,185.34558436349297,180.36278195488723,RIC
8,101.98894649562874,99.17352582872098,RIC
9,73.71250735034349,70.80957507348315,RIC
10,94.85553662450134,93.269989369092,RIC
11,185.99603409411634,181.28581380134386,RIC
12,250.95302797998303,243.3675533935063,RIC
13,272.5849418473571,266.2503565367233,RIC
14,283.5823133911801,277.49717893413776,RIC
15,115.81436565433272,113.43379651478993,RIC
16,145.00891949103783,148.37379794098163,GRO
17,185.67388134880719,191.32585434498188,GRO
18,202.96187974713695,198.49844317589444,RIC
19,216.44877091466148,213.21869695465352,RIC
20,138.338663247236,137.37874119146792,RIC
21,110.41395886848764,110.7920502239142,GRO
22,94.16134967092374,93.24202572767213,RIC
23,199.3818167640319,199.29976068975554,RIC
24,254.30659134268294,248.72776563471638,RIC
25,,262.9875008,GRO
