Minisector,RUS,SAI,Fastest
0,281.42370998973036,290.4217800292064,SAI
1,122.0071877828362,121.08651304408292,RUS
2,163.71290897833507,171.41489073277802,SAI
3,218.96055937163638,203.40938430052913,RUS
4,170.7699627798121,171.336914284058,SAI
5,243.22120613614038,243.72265438223323,SAI
6,226.98172207790273,216.30260791354038,RUS
7,135.09962114233826,135.6380036199735,SAI
8,226.8184791109433,234.65502764682117,SAI
9,276.31138569222225,281.54882748280687,SAI
10,292.002695852344,292.77382222072833,SAI
11,166.2604415893651,156.45141549334923,RUS
12,217.05824447016553,216.62196836351328,RUS
13,268.5969814689216,269.04492261647056,SAI
14,276.72672102233764,272.65753655355775,RUS
15,102.56363732996569,106.64075911842065,SAI
16,201.90321145697723,217.44638652925096,SAI
17,270.9638218186147,273.37384396250235,SAI
18,291.20672294184874,304.6108138224655,SAI
19,303.44689481981266,318.05954181053744,SAI
20,308.3972222273016,328.1729377411478,SAI
21,286.77759115670995,292.46717728557195,SAI
22,157.47166676667763,147.50431802893837,RUS
23,235.93812226285715,227.52113497724676,RUS
24,275.29834235050515,278.0486332968487,SAI
25,287.88500096,293.6333326222222,SAI
