Minisector,PER,HAM,Fastest
0,290.67744954761906,306.4955321392073,HAM
1,300.34682554920636,320.6289904253968,HAM
2,275.09607916596826,290.9675051275782,HAM
3,104.91190515627494,107.64542079061006,HAM
4,224.86916688894448,231.76214398837604,HAM
5,270.37946480346324,270.68620132041406,HAM
6,215.10132475791355,218.507135225679,HAM
7,168.17084227345552,161.39548814699134,PER
8,208.50221265985786,211.69023416652433,HAM
9,218.34284691809523,221.74384842284246,HAM
10,118.5854996457008,116.58038532202795,PER
11,230.51684280041127,227.47976739779048,PER
12,124.04132959601965,117.42393999102025,PER
13,222.0150836682422,215.58270841541545,PER
14,271.54492749271395,273.4148352504309,HAM
15,224.3945464507864,235.61586236696644,HAM
16,194.83195413312714,198.51280583432964,HAM
17,248.37142664410254,250.8616840191747,HAM
18,212.30179040545792,209.5738385086984,PER
19,183.22815342105085,175.54651356308915,PER
20,262.168676893372,260.9585207457864,PER
21,288.95156959769116,287.87582762514285,PER
22,172.19942459568787,176.30600122817873,HAM
23,210.41451025645932,202.14936519578413,PER
24,268.7730528806885,269.89718411642434,HAM
25,283.2083328,284.7500010666667,HAM
