Minisector,ALB,KUB,Fastest
0,280.3687981424142,278.2223311213078,ALB
1,251.61966669598232,240.1629154578626,ALB
2,272.90616979196693,264.90117955440155,ALB
3,287.2395395219344,280.2075413430293,ALB
4,122.99678911507081,121.42461392463332,ALB
5,205.97615677900217,210.60787918006395,KUB
6,270.86486237835925,264.66653620805374,ALB
7,303.1989803242308,287.0203236773808,ALB
8,317.8906751189545,296.5557292,ALB
9,325.86344984382833,299.2313725490196,ALB
10,304.2086401309126,275.1994600550233,ALB
11,100.85053808933006,94.41377546880133,ALB
12,221.80682697662286,215.9095782961636,ALB
13,270.99947612517815,265.68204831023746,ALB
14,271.9374767657617,266.7330609685965,ALB
15,131.86781775701263,127.14525023371897,ALB
16,195.54829197283448,201.7980094380676,KUB
17,248.6317482692221,254.55068114466994,KUB
18,257.55883930608496,249.9572155303154,ALB
19,237.31316488444767,248.0291907944224,KUB
20,149.2041956541433,148.8091430625152,ALB
21,181.5435254441114,186.3332270418846,KUB
22,165.870555904451,161.75653929879144,ALB
23,183.7403668445388,182.84747978313615,ALB
24,247.21749841148443,245.02369230442244,ALB
25,267.5750016,267.6187504,KUB
