Minisector,GAS,ALO,Fastest
0,273.6565886489591,268.82857122539684,GAS
1,298.37691579469333,292.3141217311016,GAS
2,309.98823504313725,304.85177049957235,GAS
3,316.2509802039216,312.11778711484595,GAS
4,320.2401960336134,316.96593129411764,GAS
5,321.0041669019608,321.8611717843864,ALO
6,210.05469160834983,208.10224370402932,GAS
7,108.71982469054171,107.79156720881788,GAS
8,183.8314342559291,189.0408931189741,ALO
9,263.99636396158706,261.8301245240631,GAS
10,291.6379381894737,290.40578696296296,GAS
11,170.39950670981005,165.2072486231552,GAS
12,98.12008511858693,99.61331375672046,ALO
13,116.06462531906068,117.98979024422286,ALO
14,221.54230697002683,221.83543881310433,ALO
15,188.1714283809524,191.69120331851852,ALO
16,224.59983665764491,227.76786843182003,ALO
17,181.30281800126983,183.9379459809524,ALO
18,241.3590965128022,237.94030184844925,GAS
19,281.8323300170426,277.8053019875443,GAS
20,250.72058016507938,249.21436869956707,GAS
21,145.85522701154468,145.44584624166887,GAS
22,97.92724274157483,96.76428576623981,GAS
23,125.64913465770543,125.62389468081844,GAS
24,224.27300562893984,225.79409715555553,ALO
25,257.24999679999996,,GAS
