Minisector,LEC,SAI,Fastest
0,272.95022562646614,268.49268168048485,LEC
1,249.14912319102132,241.84990313797545,LEC
2,122.50914811928206,118.8664566713468,LEC
3,169.72035449686726,172.74534666558924,SAI
4,198.89326169914673,185.06956520417555,LEC
5,195.29399650490842,203.2720763205861,SAI
6,267.3231341359045,263.85183017311897,LEC
7,288.54479065223285,285.3301882706767,LEC
8,235.92245314426808,244.2019221483506,SAI
9,147.90757590842503,148.318829765547,SAI
10,117.98601413342912,116.26525696624026,LEC
11,154.8695430245695,150.9605225150718,LEC
12,249.504284495931,238.61991899999998,LEC
13,154.56076927453262,157.34509904041295,SAI
14,154.71382673694436,144.64527834758886,LEC
15,109.6637649930638,115.89139573561955,SAI
16,219.80875635153242,205.36199241345403,LEC
17,234.94163870730156,248.02205204402603,SAI
18,131.33706406561126,123.74125423124987,LEC
19,241.5720887557932,232.17670796588834,LEC
20,274.87638578565765,271.1182758104308,LEC
21,204.5267513179745,219.32433343226,SAI
22,153.36661806163545,145.05683388836883,LEC
23,217.1077581339964,215.49998331665225,LEC
24,232.11860131869568,219.05890467502013,LEC
25,,254.30807213333333,SAI
