Minisector,RUS,PIA,Fastest
0,313.9240280739506,311.9285502630767,RUS
1,325.9187804037645,325.3626397025571,RUS
2,330.65611373871786,330.4895725873555,RUS
3,301.13892989358146,314.1421758630065,PIA
4,152.489175670293,154.10664783542296,PIA
5,196.73241383805765,187.88556379583596,RUS
6,218.1480124375483,213.60080305627545,RUS
7,258.7933838994997,258.64938255530427,RUS
8,231.07344083846837,235.66470345049157,PIA
9,156.3210654785933,151.8728781465374,RUS
10,208.84819285490815,212.09315631041557,PIA
11,121.6882714425364,118.29573744503983,RUS
12,228.550893227447,229.48646715494928,PIA
13,163.14714734312878,165.98336954735052,PIA
14,207.17803951738463,207.74535627400684,PIA
15,219.77815718974924,216.6553326357672,RUS
16,264.36019931061577,253.48243687669378,RUS
17,304.5161369479086,286.0301334988203,RUS
18,142.55998770418336,144.42423918699558,PIA
19,157.13669879872515,155.51429233324487,RUS
20,132.268195768097,133.9008323666588,PIA
21,222.66669628635492,220.9392068921082,RUS
22,246.7271615504531,249.9591775820543,PIA
23,229.43737049483997,232.75767623798566,PIA
24,281.35448776632813,275.69332132826554,RUS
25,,302.93779750886193,PIA
