Minisector,HAM,LEC,Fastest
0,304.1606330743936,304.8090248999619,LEC
1,146.28869769605777,139.2747357201834,HAM
2,212.72294173175612,213.5384154673439,LEC
3,276.9847508384416,279.130780700114,LEC
4,313.5411788098927,320.6491656410637,LEC
5,323.8099100612615,314.53807830453275,HAM
6,148.67236482190708,146.92348454769288,HAM
7,247.2873942708265,243.0527099098197,HAM
8,126.93754926055152,112.44819217117075,HAM
9,143.84973257448067,148.76088595613277,LEC
10,268.03624781103423,276.0594926863768,LEC
11,297.7002742209524,300.42551123116885,LEC
12,253.49164271827235,237.37937556776242,HAM
13,153.2459350904423,166.8704060691003,LEC
14,266.944806070876,273.86777969833315,LEC
15,305.9411815478324,310.6474529649524,LEC
16,322.60017941243757,328.4615864892002,LEC
17,332.25564924081635,338.4853448596825,LEC
18,337.35459380000003,348.35441973714285,LEC
19,336.7910739117255,349.27462775619045,LEC
20,226.62892702164814,176.392330733856,HAM
21,151.03955060381142,169.59972688711224,LEC
22,272.61443117180323,278.0817139980771,LEC
23,309.85940537627704,314.56419548121215,LEC
24,324.7323351089324,328.3051514860606,LEC
25,321.4124992,,HAM
