Minisector,NOR,PER,Fastest
0,306.23829833229274,310.0425797164815,PER
1,206.20742174436768,212.83140991544033,PER
2,149.95361592142856,141.1192097777926,NOR
3,228.73670103873013,224.17770738956054,NOR
4,165.69526693454364,166.60353988422486,PER
5,185.70521947136416,175.20974540142046,NOR
6,258.1344825618713,254.81074475238097,NOR
7,280.8581896417175,282.29617819364825,PER
8,289.56888896948146,291.2000834915555,PER
9,263.66436874812484,268.4078564198942,PER
10,246.70025911099856,242.52534868917175,NOR
11,242.27479155555557,233.8874089771731,NOR
12,205.0967576825893,194.00998303344088,NOR
13,126.54043716425413,122.21999520999059,NOR
14,134.1254209434833,128.90475586162123,NOR
15,172.4739974606349,170.48515655532415,NOR
16,248.32887256812367,249.47819770188042,PER
17,248.40433931555557,231.27525545753682,NOR
18,111.91892436138681,114.09752370175761,PER
19,204.12046484018208,200.12509315751905,NOR
20,206.89383420586665,201.59508713059122,NOR
21,242.23273232611785,238.23741378013912,NOR
22,269.375545423752,268.2164139989482,NOR
23,289.88973242857145,287.9654291184762,NOR
24,302.04555373511107,302.19896184550265,PER
