Minisector,ANT,NOR,Fastest
0,245.96909773965606,248.92023658495242,NOR
1,132.2821484973772,132.52568729435228,NOR
2,278.12433831316946,284.5061429772922,NOR
3,314.8513424656448,321.13794307838185,NOR
4,297.4276648575691,302.11367534069547,NOR
5,319.3621462208482,321.72646224400404,NOR
6,319.62025028739316,323.7565595675914,NOR
7,314.14857498239996,318.6249999259259,NOR
8,195.75096566583304,192.96019182194993,ANT
9,193.47326002987256,196.01452303466223,NOR
10,178.9269962295439,171.9728649459664,ANT
11,176.79657737853003,173.27409473343025,ANT
12,244.84899266281096,250.88039704687176,NOR
13,263.6548119402181,265.97290403127545,NOR
14,256.5713317748515,261.7632152869919,NOR
15,247.32755353381467,247.4647693569985,NOR
16,173.74861577895916,168.0975721971897,ANT
17,188.14180383740674,189.2418530141967,NOR
18,252.00969018448978,256.1103353993431,NOR
19,303.06251678191256,306.23092775949414,NOR
20,325.3612609328655,323.59619625727714,ANT
21,314.1652469814816,314.6587506653285,NOR
22,290.7797749824339,300.9968347373871,NOR
23,250.87342767496747,236.14904477026263,ANT
24,117.79052211171897,119.37294326820037,NOR
25,220.4,,ANT
