Minisector,HAM,LEC,Fastest
0,291.9083333818182,319.64185604848484,LEC
1,292.90905794782606,320.0890578961511,LEC
2,267.4339973973333,263.7733333333333,HAM
3,161.92291939206302,149.32084735451664,HAM
4,180.89919215140708,163.43579046153846,HAM
5,216.8813874350516,213.4516469231746,HAM
6,245.9981954551547,228.0642132078236,HAM
7,219.72554497393807,210.16202789622332,HAM
8,268.9870493626389,259.4133466393739,HAM
9,266.4811366854543,253.53408287266316,HAM
10,275.6572549714286,268.2519310102335,HAM
11,276.950901897898,273.62204854444445,HAM
12,273.1481189241905,271.72145182456296,HAM
13,273.95145020289857,265.9907590263255,HAM
14,190.47799165513368,177.71557572932178,HAM
15,236.11260868727933,234.46335678424472,HAM
16,218.35712337987314,207.16568621751577,HAM
17,172.23545729400155,163.9038534255639,HAM
18,255.68919845925925,254.05258776420305,HAM
19,283.6646035911306,284.5275974025974,LEC
20,264.86583055589347,242.6361546858064,HAM
21,193.23299132281267,181.81045165714286,HAM
22,252.742699643081,254.63706671805008,LEC
23,277.9505066414871,283.16066014199134,LEC
24,289.16371524444446,297.74640155151513,LEC
