Minisector,SAI,OCO,Fastest
0,260.1430043954122,258.5583844053907,SAI
1,135.47697307709294,129.73181278497415,SAI
2,270.79884798657594,268.12785255249963,SAI
3,308.8304657519367,312.0495447589234,OCO
4,309.40908586666666,313.0208553521357,OCO
5,317.81708572952215,321.99086123377776,OCO
6,322.04634195670997,327.0319588703704,OCO
7,324.71407531467054,322.2190798533333,SAI
8,196.87861640019366,200.78017322900516,OCO
9,205.33775070632225,203.76574608079736,SAI
10,186.21307501990228,182.2906429076133,SAI
11,180.07889075137675,174.01348542925064,SAI
12,256.5182839658456,256.90138155084486,OCO
13,285.267334814602,272.4164174716699,SAI
14,287.5152698746921,280.662287249418,SAI
15,271.82947614150675,264.8010259593747,SAI
16,172.69564999284268,173.80427900255543,OCO
17,194.04297676577778,188.75511631897274,SAI
18,251.93328879246897,250.57720141912037,SAI
19,292.06587280471905,293.7297055120346,OCO
20,308.76042031002805,314.14433332037004,OCO
21,315.0730984552317,320.80357499362316,OCO
22,313.80279441015267,316.08751939875776,OCO
23,265.5036429171446,246.8873074071767,SAI
24,113.14544927104522,122.88648438830639,OCO
