Minisector,NOR,ANT,Fastest
0,319.71333023084173,305.5904745354184,NOR
1,240.84653807147336,241.12829160655707,ANT
2,129.85030908955352,131.70189219758845,ANT
3,236.72067580739375,238.6306846413152,ANT
4,196.1231607297764,194.59533751390168,NOR
5,249.2836188221734,247.53591352611926,NOR
6,230.68742944981838,228.07495598704136,NOR
7,260.0649944886388,257.4425738336718,NOR
8,291.17905451487184,292.3795601611977,ANT
9,197.58007837365804,213.3633948428867,ANT
10,209.1558472557249,196.3148450025192,NOR
11,269.239098523498,270.17899962026667,ANT
12,216.072835099309,212.11923200059277,NOR
13,257.12716630167085,248.16048256401794,NOR
14,294.96455112546585,292.0688507417655,NOR
15,309.47342302676674,308.11366527600427,NOR
16,304.41412992151,308.4670382121739,ANT
17,202.9613627267475,211.67619713631535,ANT
18,263.68560196560384,263.4250847744881,NOR
19,298.5363380113572,294.97706050174975,NOR
20,310.3173429719807,311.0829232555783,ANT
21,304.28588624427886,312.11658497861623,ANT
22,156.4574531734915,152.24354365440698,NOR
23,232.6050742562018,231.464811015463,NOR
24,289.5746377391304,284.5248331669832,NOR
25,,299.48409076363635,ANT
